U,X,Y
0.14,26.70e-3,0.170e-3
0.15,28.58e-3,0.160e-3
0.16,30.72e-3,0.139e-3
0.17,32.70e-3,0.135e-3
0.18,34.58e-3,0.113e-3
0.19,36.47e-3,0.090e-3
0.20,38.35e-3,0.040e-3
0.21,40.15e-3,0.011e-3
0.22,42.12e-3,-0.040e-3
0.23,44.13e-3,-0.088e-3
0.24,46.15e-3,-0.135e-3
0.25,48.29e-3,-0.185e-3
0.26,50.47e-3,-0.238e-3
0.27,52.82e-3,-0.328e-3
0.28,54.60e-3,-0.423e-3
0.29,56.88e-3,-0.49e-3
0.30,59.05e-3,-0.61e-3
0.31,61.28e-3,-0.70e-3
0.32,63.69e-3,-0.82e-3
0.33,65.89e-3,-0.95e-3
0.34,68.08e-3,-1.07e-3
0.35,69.98e-3,-1.19e-3
0.36,72.36e-3,-1.34e-3
0.37,74.89e-3,-.150e-3
0.38,77.36e-3,-1.62e-3
0.39,79.62e-3,-1.77e-3
0.40,81.70e-3,-1.95e-3
0.41,84.05e-3,-2.11e-3
0.42,86.52e-3,-2.29e-3
0.43,89.08e-3,-2.47e-3
0.44,91.74e-3,-2.66e-3
0.45,94.33e-3,-2.87e-3
0.46,96.86e-3,-3.08e-3
0.47,99.46e-3,-3.30e-3
0.48,101.65e-3,-3.48e-3
0.49,104.13e-3,-3.69e-3
0.50,106.75e-3,-3.91e-3
0.51,109.59e-3,-4.15e-3
0.52,112.09e-3,-4.33e-3
0.53,114.62e-3,-4.58e-3
0.54,117.25e-3,-4.79e-3
0.55,119.78e-3,-5.04e-3
0.56,122.34e-3,-5.28e-3
0.57,124.97e-3,-5.49e-3
0.58,127.35e-3,-5.68e-3
0.59,129.91e-3,-5.89e-3
0.60,132.39e-3,-6.10e-3
0.61,134.34e-3,-6.29e-3
0.62,137.73e-3,-6.50e-3
0.63,140.44e-3,-6.71e-3
0.64,142.55e-3,-6.87e-3
0.65,145.02e-3,-7.08e-3
0.70,157.17e-3,-7.90e-3
0.75,168.15e-3,-8.48e-3
0.80,178.65e-3,-8.79e-3
0.85,188.20e-3,-8.79e-3
0.90,196.87e-3,-8.48e-3
0.95,204.3e-3,-7.93e-3
1.00,210.8e-3,-7.17e-3
