START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -498.446342493 ns
To: 501.553657507 ns
START counts: 43937
STOP counts: 43638
Time intervals: 43620
Elapsed time: 60.6 s
Offset: -1.55365750682 ns

Time [ns]	Counts	PDF [1/ns]
-0.368	1	0.00935725
-0.36555	0	0
-0.3631	0	0
-0.36065	0	0
-0.3582	0	0
-0.35575	0	0
-0.3533	0	0
-0.35085	0	0
-0.3484	0	0
-0.34595	0	0
-0.3435	0	0
-0.34105	0	0
-0.3386	0	0
-0.33615	0	0
-0.3337	0	0
-0.33125	0	0
-0.3288	0	0
-0.32635	0	0
-0.3239	0	0
-0.32145	0	0
-0.319	0	0
-0.31655	1	0.00935725
-0.3141	0	0
-0.31165	0	0
-0.3092	0	0
-0.30675	0	0
-0.3043	0	0
-0.30185	0	0
-0.2994	0	0
-0.29695	0	0
-0.2945	0	0
-0.29205	0	0
-0.2896	0	0
-0.28715	0	0
-0.2847	0	0
-0.28225	0	0
-0.2798	0	0
-0.27735	0	0
-0.2749	0	0
-0.27245	0	0
-0.27	0	0
-0.26755	0	0
-0.2651	0	0
-0.26265	0	0
-0.2602	0	0
-0.25775	1	0.00935725
-0.2553	0	0
-0.25285	0	0
-0.2504	0	0
-0.24795	0	0
-0.2455	0	0
-0.24305	0	0
-0.2406	0	0
-0.23815	0	0
-0.2357	0	0
-0.23325	0	0
-0.2308	0	0
-0.22835	0	0
-0.2259	0	0
-0.22345	0	0
-0.221	0	0
-0.21855	0	0
-0.2161	0	0
-0.21365	0	0
-0.2112	2	0.0187145
-0.20875	0	0
-0.2063	0	0
-0.20385	1	0.00935725
-0.2014	0	0
-0.19895	0	0
-0.1965	0	0
-0.19405	0	0
-0.1916	0	0
-0.18915	0	0
-0.1867	1	0.00935725
-0.18425	1	0.00935725
-0.1818	0	0
-0.17935	0	0
-0.1769	0	0
-0.17445	0	0
-0.172	0	0
-0.16955	0	0
-0.1671	0	0
-0.16465	1	0.00935725
-0.1622	0	0
-0.15975	0	0
-0.1573	0	0
-0.15485	0	0
-0.1524	0	0
-0.14995	0	0
-0.1475	0	0
-0.14505	1	0.00935725
-0.1426	0	0
-0.14015	0	0
-0.1377	0	0
-0.13525	0	0
-0.1328	0	0
-0.13035	0	0
-0.1279	0	0
-0.12545	1	0.00935725
-0.123	1	0.00935725
-0.12055	0	0
-0.1181	0	0
-0.11565	0	0
-0.1132	0	0
-0.11075	0	0
-0.1083	0	0
-0.10585	1	0.00935725
-0.1034	0	0
-0.10095	0	0
-0.0985	0	0
-0.09605	0	0
-0.0936	0	0
-0.09115	0	0
-0.0887	0	0
-0.08625	0	0
-0.0838	0	0
-0.08135	4	0.037429
-0.0789	0	0
-0.07645	0	0
-0.074	1	0.00935725
-0.07155	20	0.187145
-0.0691	1	0.00935725
-0.06665	0	0
-0.0642	5	0.0467863
-0.06175	0	0
-0.0593	11	0.10293
-0.05685	4	0.037429
-0.0544	26	0.243289
-0.05195	54	0.505292
-0.0495	19	0.177788
-0.04705	13	0.121644
-0.0446	157	1.46909
-0.04215	160	1.49716
-0.0397	66	0.617579
-0.03725	196	1.83402
-0.0348	196	1.83402
-0.03235	406	3.79904
-0.0299	894	8.36538
-0.02745	745	6.97115
-0.025	707	6.61558
-0.02255	541	5.06227
-0.0201	640	5.98864
-0.01765	1520	14.223
-0.0152	2291	21.4375
-0.01275	902	8.44024
-0.0103	1856	17.3671
-0.00785	2337	21.8679
-0.0054	1801	16.8524
-0.00295	1639	15.3365
-0.0005	2205	20.6327
0.00195	2206	20.6421
0.0044	3604	33.7235
0.00685	1492	13.961
0.0093	2308	21.5965
0.01175	1776	16.6185
0.0142	1277	11.9492
0.01665	804	7.52323
0.0191	1523	14.2511
0.02155	1826	17.0863
0.024	1376	12.8756
0.02645	520	4.86577
0.0289	1740	16.2816
0.03135	413	3.86454
0.0338	769	7.19573
0.03625	702	6.56879
0.0387	499	4.66927
0.04115	545	5.0997
0.0436	108	1.01058
0.04605	245	2.29253
0.0485	169	1.58138
0.05095	77	0.720508
0.0534	24	0.224574
0.05585	15	0.140359
0.0583	24	0.224574
0.06075	21	0.196502
0.0632	8	0.074858
0.06565	21	0.196502
0.0681	1	0.00935725
0.07055	41	0.383647
0.073	5	0.0467863
0.07545	3	0.0280718
0.0779	1	0.00935725
0.08035	38	0.355576
0.0828	1	0.00935725
0.08525	0	0
0.0877	4	0.037429
0.09015	0	0
0.0926	0	0
0.09505	0	0
0.0975	0	0
0.09995	1	0.00935725
0.1024	0	0
0.10485	2	0.0187145
0.1073	0	0
0.10975	0	0
0.1122	0	0
0.11465	0	0
0.1171	0	0
0.11955	1	0.00935725
