START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -662.247100391 ns
To: 337.752899609 ns
START counts: 21433
STOP counts: 23140
Time intervals: 16
Elapsed time: 30.1 s
Offset: 162.247100391 ns

Time [ns]	Counts	PDF [1/ns]
-447	1	0.0161082
-443.12	0	0
-439.24	0	0
-435.36	0	0
-431.48	0	0
-427.6	0	0
-423.72	0	0
-419.84	0	0
-415.96	0	0
-412.08	0	0
-408.2	0	0
-404.32	0	0
-400.44	1	0.0161082
-396.56	0	0
-392.68	0	0
-388.8	0	0
-384.92	0	0
-381.04	0	0
-377.16	0	0
-373.28	0	0
-369.4	0	0
-365.52	0	0
-361.64	0	0
-357.76	0	0
-353.88	0	0
-350	0	0
-346.12	0	0
-342.24	0	0
-338.36	0	0
-334.48	0	0
-330.6	0	0
-326.72	0	0
-322.84	0	0
-318.96	0	0
-315.08	0	0
-311.2	0	0
-307.32	0	0
-303.44	0	0
-299.56	0	0
-295.68	0	0
-291.8	0	0
-287.92	0	0
-284.04	0	0
-280.16	0	0
-276.28	0	0
-272.4	0	0
-268.52	0	0
-264.64	0	0
-260.76	0	0
-256.88	0	0
-253	0	0
-249.12	1	0.0161082
-245.24	0	0
-241.36	0	0
-237.48	0	0
-233.6	0	0
-229.72	0	0
-225.84	0	0
-221.96	0	0
-218.08	0	0
-214.2	0	0
-210.32	0	0
-206.44	0	0
-202.56	1	0.0161082
-198.68	0	0
-194.8	0	0
-190.92	0	0
-187.04	0	0
-183.16	0	0
-179.28	0	0
-175.4	0	0
-171.52	0	0
-167.64	0	0
-163.76	0	0
-159.88	0	0
-156	0	0
-152.12	0	0
-148.24	0	0
-144.36	1	0.0161082
-140.48	0	0
-136.6	0	0
-132.72	0	0
-128.84	0	0
-124.96	0	0
-121.08	0	0
-117.2	0	0
-113.32	0	0
-109.44	0	0
-105.56	0	0
-101.68	0	0
-97.8	0	0
-93.92	0	0
-90.04	0	0
-86.16	0	0
-82.28	1	0.0161082
-78.4	0	0
-74.52	0	0
-70.64	0	0
-66.76	0	0
-62.88	0	0
-59	0	0
-55.12	0	0
-51.24	0	0
-47.36	1	0.0161082
-43.48	0	0
-39.6	0	0
-35.72	0	0
-31.84	0	0
-27.96	1	0.0161082
-24.08	0	0
-20.2	0	0
-16.32	0	0
-12.44	0	0
-8.56	0	0
-4.68	0	0
-0.8	0	0
3.08	0	0
6.96	0	0
10.84	0	0
14.72	0	0
18.6	0	0
22.48	0	0
26.36	0	0
30.24	0	0
34.12	0	0
38	0	0
41.88	0	0
45.76	0	0
49.64	1	0.0161082
53.52	0	0
57.4	0	0
61.28	0	0
65.16	0	0
69.04	0	0
72.92	0	0
76.8	0	0
80.68	0	0
84.56	0	0
88.44	0	0
92.32	0	0
96.2	0	0
100.08	0	0
103.96	0	0
107.84	0	0
111.72	0	0
115.6	0	0
119.48	0	0
123.36	0	0
127.24	0	0
131.12	1	0.0161082
135	0	0
138.88	0	0
142.76	0	0
146.64	0	0
150.52	1	0.0161082
154.4	0	0
158.28	0	0
162.16	0	0
166.04	0	0
169.92	0	0
173.8	0	0
177.68	0	0
181.56	1	0.0161082
185.44	0	0
189.32	0	0
193.2	1	0.0161082
197.08	0	0
200.96	0	0
204.84	0	0
208.72	0	0
212.6	0	0
216.48	0	0
220.36	0	0
224.24	0	0
228.12	0	0
232	0	0
235.88	0	0
239.76	1	0.0161082
243.64	0	0
247.52	0	0
251.4	0	0
255.28	0	0
259.16	0	0
263.04	0	0
266.92	0	0
270.8	0	0
274.68	0	0
278.56	0	0
282.44	0	0
286.32	0	0
290.2	0	0
294.08	1	0.0161082
297.96	0	0
301.84	0	0
305.72	0	0
309.6	0	0
313.48	0	0
317.36	0	0
321.24	0	0
325.12	1	0.0161082
