START: TDC 0
STOP: TDC 0
1st stop option: Off
From: 0 ps
To: 15000000000 ps
START counts: 22925
STOP counts: 22925
Time intervals: 22913
Elapsed time: 31.6 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
0	1138	6.62215e-10
75000000	1180	6.86655e-10
150000000	1052	6.12171e-10
225000000	1066	6.20317e-10
300000000	1074	6.24973e-10
375000000	956	5.56307e-10
450000000	882	5.13246e-10
525000000	875	5.09172e-10
600000000	809	4.70766e-10
675000000	735	4.27705e-10
750000000	715	4.16067e-10
825000000	665	3.86971e-10
900000000	679	3.95118e-10
975000000	570	3.31689e-10
1050000000	587	3.41582e-10
1125000000	534	3.10741e-10
1200000000	515	2.99684e-10
1275000000	511	2.97357e-10
1350000000	499	2.90374e-10
1425000000	381	2.21708e-10
1500000000	454	2.64188e-10
1575000000	382	2.2229e-10
1650000000	368	2.14143e-10
1725000000	361	2.1007e-10
1800000000	273	1.58862e-10
1875000000	291	1.69336e-10
1950000000	260	1.51297e-10
2025000000	286	1.66427e-10
2100000000	270	1.57116e-10
2175000000	249	1.44896e-10
2250000000	226	1.31512e-10
2325000000	225	1.3093e-10
2400000000	220	1.2802e-10
2475000000	196	1.14055e-10
2550000000	179	1.04162e-10
2625000000	175	1.01834e-10
2700000000	168	9.77611e-11
2775000000	180	1.04744e-10
2850000000	152	8.84505e-11
2925000000	148	8.61229e-11
3000000000	137	7.97218e-11
3075000000	132	7.68123e-11
3150000000	108	6.28464e-11
3225000000	103	5.99369e-11
3300000000	102	5.9355e-11
3375000000	95	5.52816e-11
3450000000	84	4.88805e-11
3525000000	86	5.00444e-11
3600000000	78	4.53891e-11
3675000000	71	4.13157e-11
3750000000	72	4.18976e-11
3825000000	73	4.24795e-11
3900000000	70	4.07338e-11
3975000000	61	3.54966e-11
4050000000	56	3.2587e-11
4125000000	64	3.72423e-11
4200000000	48	2.79317e-11
4275000000	47	2.73498e-11
4350000000	49	2.85137e-11
4425000000	45	2.6186e-11
4500000000	45	2.6186e-11
4575000000	55	3.20051e-11
4650000000	50	2.90956e-11
4725000000	39	2.26945e-11
4800000000	43	2.50222e-11
4875000000	34	1.9785e-11
4950000000	28	1.62935e-11
5025000000	31	1.80392e-11
5100000000	14	8.14676e-12
5175000000	27	1.57116e-11
5250000000	23	1.3384e-11
5325000000	26	1.51297e-11
5400000000	23	1.3384e-11
5475000000	16	9.31058e-12
5550000000	13	7.56485e-12
5625000000	19	1.10563e-11
5700000000	24	1.39659e-11
5775000000	14	8.14676e-12
5850000000	31	1.80392e-11
5925000000	16	9.31058e-12
6000000000	13	7.56485e-12
6075000000	11	6.40102e-12
6150000000	15	8.72867e-12
6225000000	13	7.56485e-12
6300000000	9	5.2372e-12
6375000000	8	4.65529e-12
6450000000	14	8.14676e-12
6525000000	12	6.98294e-12
6600000000	8	4.65529e-12
6675000000	11	6.40102e-12
6750000000	4	2.32765e-12
6825000000	8	4.65529e-12
6900000000	8	4.65529e-12
6975000000	9	5.2372e-12
7050000000	11	6.40102e-12
7125000000	4	2.32765e-12
7200000000	7	4.07338e-12
7275000000	3	1.74573e-12
7350000000	10	5.81911e-12
7425000000	4	2.32765e-12
7500000000	3	1.74573e-12
7575000000	3	1.74573e-12
7650000000	3	1.74573e-12
7725000000	3	1.74573e-12
7800000000	3	1.74573e-12
7875000000	7	4.07338e-12
7950000000	3	1.74573e-12
8025000000	7	4.07338e-12
8100000000	1	5.81911e-13
8175000000	1	5.81911e-13
8250000000	3	1.74573e-12
8325000000	1	5.81911e-13
8400000000	1	5.81911e-13
8475000000	2	1.16382e-12
8550000000	1	5.81911e-13
8625000000	1	5.81911e-13
8700000000	2	1.16382e-12
8775000000	0	0
8850000000	2	1.16382e-12
8925000000	4	2.32765e-12
9000000000	1	5.81911e-13
9075000000	3	1.74573e-12
9150000000	4	2.32765e-12
9225000000	1	5.81911e-13
9300000000	0	0
9375000000	2	1.16382e-12
9450000000	3	1.74573e-12
9525000000	1	5.81911e-13
9600000000	3	1.74573e-12
9675000000	1	5.81911e-13
9750000000	1	5.81911e-13
9825000000	2	1.16382e-12
9900000000	1	5.81911e-13
9975000000	1	5.81911e-13
10050000000	2	1.16382e-12
10125000000	1	5.81911e-13
10200000000	1	5.81911e-13
10275000000	1	5.81911e-13
10350000000	1	5.81911e-13
10425000000	2	1.16382e-12
10500000000	0	0
10575000000	1	5.81911e-13
10650000000	0	0
10725000000	2	1.16382e-12
10800000000	0	0
10875000000	0	0
10950000000	0	0
11025000000	0	0
11100000000	0	0
11175000000	1	5.81911e-13
11250000000	0	0
11325000000	2	1.16382e-12
11400000000	1	5.81911e-13
11475000000	0	0
11550000000	0	0
11625000000	0	0
11700000000	0	0
11775000000	1	5.81911e-13
11850000000	0	0
11925000000	0	0
12000000000	0	0
12075000000	0	0
12150000000	0	0
12225000000	0	0
12300000000	0	0
12375000000	0	0
12450000000	0	0
12525000000	0	0
12600000000	0	0
12675000000	0	0
12750000000	0	0
12825000000	0	0
12900000000	0	0
12975000000	1	5.81911e-13
13050000000	0	0
13125000000	0	0
13200000000	0	0
13275000000	0	0
13350000000	0	0
13425000000	0	0
13500000000	0	0
13575000000	0	0
13650000000	1	5.81911e-13
13725000000	0	0
13800000000	0	0
13875000000	0	0
13950000000	0	0
14025000000	0	0
14100000000	0	0
14175000000	0	0
14250000000	0	0
14325000000	0	0
14400000000	0	0
14475000000	0	0
14550000000	0	0
14625000000	0	0
14700000000	0	0
14775000000	0	0
14850000000	0	0
14925000000	0	0
