I[mA], U[mV]
202, 59.9
203, 60.4
204, 60.7
205, 59.9
206, 60.2
207, 60.3
208, 60.1
209, 68.5
210, 68.7
211, 64.7
212, 69.4
213, 60.2
214, 64.5
215, 68.8
216, 68.1
217, 69.2
218, 71.4
219, 71.5
220, 67.5
221, 64.7
222, 74.6
223, 74.6
224, 79.1
225, 77.6
226, 79.5
227, 80.0
228, 78.7
229, 80.0
230, 80.1
231, 85.1
232, 86.8
233, 85.0
234, 87.6
235, 91.5
236, 99.0
237, 99.4
238, 100.0
239, 103
240, 109
241, 114
242, 117
243, 125
244, 145
245, 156
246, 160
247, 180
248, 180
249, 193
250, 200
251, 220
252, 240
253, 263
254, 298
255, 337
356, 360
257, 418
258, 460
259, 540
260, 585
261, 681
262, 811
263, 886
264, 994
265, 1120
266, 1170
267, 1210
268, 1220
269, 1140
270, 996
271, 800
272, 520
273, 200
274, -55.8
275, -340
276, -620
277, -822
278, -940
279, -1060
280, -1080
281, -1020
282, -1040
283, -920
284, -858
285, -720
286, -620
287, -514
288, -440
289, -360
290, -340
291, -300
292, -240
293, -185
294, -160
295, -140
296, -115
297, -100
298, -80.1
299, -70.0
300, -40.7
301, -40.0
302, -34.7
303, -31.6
304, -18.8
305, -5.5
306, -2.82
307, 0
308, 1.97
310, 18.9
311, 20.0
